# Correction file Goniospectrometer Mattias 2016-05-04
# Wavelength(nm)	Factor(a.u.)
238.580000000000	0.0734442924620851
239.040000000000	0.0771215463360931
239.510000000000	0.0796069014941493
239.970000000000	0.0816962031465216
240.440000000000	0.0841840166697501
240.900000000000	0.0868941695109179
241.360000000000	0.0905050779126961
241.830000000000	0.0933475719194127
242.290000000000	0.0969167392667970
242.760000000000	0.100393799160716
243.220000000000	0.103123812673701
243.680000000000	0.105935852780037
244.150000000000	0.109466478059974
244.610000000000	0.112520835247452
245.080000000000	0.116639413065018
245.540000000000	0.120546693900959
246	0.124509269242513
246.470000000000	0.127530193663388
246.930000000000	0.132117656825396
247.400000000000	0.136644904479437
247.860000000000	0.140551040178814
248.320000000000	0.145810171753260
248.790000000000	0.149375440519147
249.250000000000	0.152994202958445
249.710000000000	0.158707181107912
250.180000000000	0.163014536388601
250.640000000000	0.167836123717684
251.100000000000	0.170863532414209
251.570000000000	0.175526442830219
252.030000000000	0.178809535719844
252.490000000000	0.183664110045074
252.960000000000	0.187528337822087
253.420000000000	0.189172676546672
253.880000000000	0.193578536399899
254.350000000000	0.197397674441126
254.810000000000	0.202148241266431
255.270000000000	0.207263857383831
255.730000000000	0.213165329783046
256.200000000000	0.222014121934439
256.660000000000	0.228464041684667
257.120000000000	0.236367408798593
257.580000000000	0.242600862322352
258.050000000000	0.249882233550052
258.510000000000	0.262371722495303
258.970000000000	0.273280455934010
259.430000000000	0.283722961676075
259.900000000000	0.291740743712890
260.360000000000	0.300092784408090
260.820000000000	0.306958685296669
261.280000000000	0.315229940898891
261.750000000000	0.327237761935176
262.210000000000	0.331139521569744
262.670000000000	0.340267506518027
263.130000000000	0.348900313870011
263.600000000000	0.352729563313160
264.060000000000	0.357720737248175
264.520000000000	0.370550851017120
264.980000000000	0.381367822493024
265.440000000000	0.389860765995228
265.900000000000	0.401449267934115
266.370000000000	0.410769423871465
266.830000000000	0.418399391259819
267.290000000000	0.431880678883013
267.750000000000	0.440388205921959
268.210000000000	0.451020061792458
268.670000000000	0.464392442211898
269.140000000000	0.481911940977498
269.600000000000	0.491536979675609
270.060000000000	0.500141091196193
270.520000000000	0.516065779904705
270.980000000000	0.522385919511579
271.440000000000	0.540452414229770
271.900000000000	0.551894525234437
272.370000000000	0.564155101644504
272.830000000000	0.578769486570572
273.290000000000	0.597951149814461
273.750000000000	0.615138174563253
274.210000000000	0.625711300625602
274.670000000000	0.635708663653223
275.130000000000	0.650553227214034
275.590000000000	0.660046109616286
276.050000000000	0.678663643107325
276.510000000000	0.684621951041300
276.970000000000	0.699858415004279
277.430000000000	0.713853525708499
277.900000000000	0.732477130117404
278.360000000000	0.742708000258222
278.820000000000	0.750292202818262
279.280000000000	0.762638889034798
279.740000000000	0.772938119837441
280.200000000000	0.781914745567365
280.660000000000	0.795677131710071
281.120000000000	0.804043424551129
281.580000000000	0.817092148157837
282.040000000000	0.838494012721234
282.500000000000	0.862979506206538
282.960000000000	0.874217936694653
283.420000000000	0.892196313715688
283.880000000000	0.922559026210212
284.340000000000	0.944026248806964
284.800000000000	0.975513842383240
285.260000000000	1.01296435703233
285.720000000000	1.03615826029687
286.180000000000	1.07186664595259
286.640000000000	1.10505389249402
287.100000000000	1.12506320388986
287.560000000000	1.15028930530681
288.020000000000	1.17635832416133
288.480000000000	1.21142776624921
288.940000000000	1.22256420228538
289.390000000000	1.25669844684308
289.850000000000	1.27502140942609
